# Hume rows of the National Freight Data Hub's National Formal Rest Areas file,
# with this study's decision on each. Derived subset; see PROVENANCE.md.
source_id,name,state,road_name,locality,direction_of_travel,site_type,heavy_vehicle_area,latitude,longitude,included,reason_excluded,assumed_bays,bays_basis
17213,Glenburn Rest Area,NSW,HUME HIGHWAY,WAGGA WAGGA,Northbound,Class 5 Heavy Vehicle Rest Area,Y,-35.394360,147.659510,N,serves the other direction (Northbound),0,
17217,Keajura Rest Area Southbound,NSW,HUME HIGHWAY,WAGGA WAGGA,Southbound,Class 5 Heavy Vehicle Rest Area,Y,-35.337300,147.647160,Y,,5,Austroads AP-R591-19 Table 4.1 minimum
17220,Kilgowla Rest Area,NSW,HUME HIGHWAY,WAGGA WAGGA,Southbound,Light Vehicle Only Rest Area,Y,-35.353810,147.651800,N,type says light vehicles only (whatever the flag says),0,
17221,Kyeamba Gap East Rest Area,NSW,HUME HIGHWAY,WAGGA WAGGA,Southbound,Class 5 Heavy Vehicle Rest Area,Y,-35.505580,147.564470,Y,,5,Austroads AP-R591-19 Table 4.1 minimum
17224,North Billabong Stopping Bay,NSW,HUME HIGHWAY,GREATER HUME SHIRE,Southbound,Informal Heavy Rest Areas,Y,-35.576320,147.533470,Y,,2,"estimate: an informal pull-off, no design minimum exists"
17225,Kyeamba Gap Rest Area,NSW,HUME HIGHWAY,WAGGA WAGGA,Northbound,Class 4 Heavy Vehicle Rest Area,Y,-35.505820,147.564270,N,serves the other direction (Northbound),0,
17228,Little Billabong Rest Area,NSW,HUME HIGHWAY,GREATER HUME SHIRE,Both Directions,Class 4 Heavy Vehicle Rest Area,Y,-35.600090,147.510690,Y,,10,Austroads AP-R591-19 Table 4.1 minimum
17229,Garryowen Rest Area,NSW,HUME HIGHWAY,GREATER HUME SHIRE,Northbound,Class 5 Heavy Vehicle Rest Area,Y,-35.656750,147.435430,N,serves the other direction (Northbound),0,
17232,Dog on the Tuckbox Service Centre,NSW,HUME HIGHWAY-STH COOLAC OFFLOAD,COOTAMUNDRA-GUNDAGAI REGIONAL,,Service Centre,Y,-35.003740,148.111790,N,no direction of travel recorded,0,
17270,Mingay Rest Area,NSW,HUME HIGHWAY-STH COOLAC OFFLOAD,COOTAMUNDRA-GUNDAGAI REGIONAL,Both Directions,Class 3 Heavy Vehicle Rest Area,Y,-34.981280,148.133930,Y,,10,Austroads AP-R591-19 Table 4.1 minimum
17271,Coolac Rest Area,NSW,HUME HIGHWAY-STH COOLAC INTERCHANGE,COOTAMUNDRA-GUNDAGAI REGIONAL,Southbound,Class 4 Heavy Vehicle Rest Area,Y,-34.940320,148.176090,Y,,10,Austroads AP-R591-19 Table 4.1 minimum
17274,Four Mile Hill Truck Parking Bay,NSW,HUME HIGHWAY-NTH GUNDAGAI,COOTAMUNDRA-GUNDAGAI REGIONAL,Southbound,Parking Area Heavy Rest Areas,Y,-35.019340,148.110270,Y,,5,estimate: every such site is named a Truck Parking Bay; sized as Class 5
17280,Keajura Truck Parking Bay Northbound,NSW,HUME HIGHWAY,WAGGA WAGGA,Eastbound,Parking Area Heavy Rest Areas,Y,-35.317020,147.659900,N,serves the other direction (Eastbound),0,
17294,Blue Metal Rest Area,NSW,HUME HIGHWAY,GREATER HUME SHIRE,Northbound,Class 3 Heavy Vehicle Rest Area,Y,-35.844470,147.197830,N,serves the other direction (Northbound),0,
17295,Mullengandra Rest Area,NSW,HUME HIGHWAY,GREATER HUME SHIRE,Northbound,Class 4 Heavy Vehicle Rest Area,Y,-35.893430,147.169530,N,serves the other direction (Northbound),0,
17298,Four Mile Creek Rest Area,NSW,HUME HIGHWAY,GREATER HUME SHIRE,Eastbound,Class 4 Heavy Vehicle Rest Area,Y,-35.839440,147.203100,N,serves the other direction (Eastbound),0,
17299,Tarcutta Service Centre,NSW,HUME HWY-STH BND OFF LOAD-TARCUTTA INTERCHANGE,WAGGA WAGGA,,Service Centre,Y,-35.277490,147.735740,N,no direction of travel recorded,0,
17312,Milton Rest Area,NSW,HUME HIGHWAY,GREATER HUME SHIRE,Eastbound,Class 4 Heavy Vehicle Rest Area,Y,-35.681800,147.362770,N,serves the other direction (Eastbound),0,
17313,Holbrook Service Centre,NSW,HUME HIGHWAY,GREATER HUME SHIRE,,Service Centre,Y,-35.730600,147.308500,N,no direction of travel recorded,0,
