# Charging stations from OpenStreetMap, bbox -34.15,150.6,-33.55,151.35. Chargers and power are OSM tags; price is the --price assumption. Generated by tools/fetch_real_network.py.
id,name,has_station,price_per_kwh,chargers,power_kw,latitude,longitude,osm_id,operator,merged_from
174,Evie Networks #29,1,0.55,6,22.0,-33.86399,151.08942,node/13168678393,Evie Networks,1
175,Evie Networks #30,1,0.55,2,22.0,-33.85443,151.10395,node/13168689959,Evie Networks,1
176,Exploren #11,1,0.55,2,22.0,-33.79672,151.20104,node/13185195201,Exploren,1
177,Evie Networks #31,1,0.55,4,22.0,-33.87951,150.97812,node/13185195202,Evie Networks,1
178,Evie Networks #32,1,0.55,5,22.0,-33.77992,150.81321,node/13205693685,Evie Networks,1
179,Evie Networks #33,1,0.55,4,22.0,-33.93807,151.23849,node/13206130158,Evie Networks,1
180,bp pulse #19,1,0.55,2,22.0,-33.91976,151.22702,node/13206142331,bp pulse,1
181,NRMA #4,1,0.55,8,22.0,-33.82729,151.20172,node/13206154674,NRMA,1
182,Evie Networks #34,1,0.55,2,22.0,-33.94305,151.23956,node/13206154678,Evie Networks,1
183,Evie Networks #35,1,0.55,4,22.0,-33.92673,151.23141,node/13206176474,Evie Networks,1
184,Exploren #12,1,0.55,4,22.0,-33.91907,151.08755,node/13235807509,Exploren,1
185,Station 190,1,0.55,1,22.0,-33.88507,151.23341,node/13240078058,,1
186,AGL,1,0.55,1,22.0,-33.80633,151.17574,node/13246607070,AGL,1
187,AmpCharge #14,1,0.55,4,22.0,-33.70597,150.91079,node/13246979353,AmpCharge,1
188,AmpCharge #15,1,0.55,6,150.0,-33.79129,151.13089,node/13250969266,AmpCharge,1
189,Station 194,1,0.55,2,22.0,-33.79342,151.18182,node/13271496162,,1
190,Chargefox #18,1,0.55,2,7.0,-33.79442,151.18017,node/13304382752,Chargefox,1
191,AmpCharge #16,1,0.55,6,22.0,-33.83406,150.98796,node/13309446883,AmpCharge,1
192,Station 197,1,0.55,1,22.0,-33.87586,151.23208,node/13323403968,,1
193,Station 198,1,0.55,1,22.0,-33.88588,151.25724,node/13329798300,,1
194,AmpCharge #17,1,0.55,4,22.0,-34.05232,151.12158,node/13360556776,AmpCharge,1
195,AmpCharge #18,1,0.55,11,22.0,-33.80235,150.88153,node/13371885230;node/13613244882,AmpCharge,2
196,Evie Networks #36,1,0.55,4,50.0,-33.88957,151.12338,node/13382573701,Evie Networks,1
197,Evie Networks #37,1,0.55,4,22.0,-33.82296,151.21088,node/13428255938,Evie Networks,1
198,EVX,1,0.55,2,22.0,-33.87496,151.10182,node/13441699802,EVX,1
199,EVX #2,1,0.55,2,22.0,-33.88951,151.14692,node/13477822501,EVX,1
200,Ocular,1,0.55,2,22.0,-33.81362,150.99846,node/13481161848;node/13481161849,,2
201,Station 208,1,0.55,4,22.0,-33.78755,150.85457,node/13530611083,,1
202,Evie Networks #38,1,0.55,2,75.0,-33.86867,151.11861,node/13586251301,Evie Networks,1
203,bp pulse #21,1,0.55,6,22.0,-33.71973,150.84487,node/13639603763,bp pulse,1
204,bp pulse #22,1,0.55,2,22.0,-33.89415,150.85798,node/13639648647,bp pulse,1
205,EVX #3,1,0.55,2,22.0,-33.88426,151.08138,node/13668077101,EVX,1
206,Eastlakes Supercharger,1,0.55,1,22.0,-33.92432,151.21149,node/13688532602,Tesla,1
207,Tesla Supercharger #9,1,0.55,1,22.0,-34.02712,151.11904,node/13722408351,Tesla,1
208,AGL #2,1,0.55,1,22.0,-33.90948,151.17787,node/13736523001,AGL,1
209,Exploren #13,1,0.55,2,150.0,-33.75807,150.69178,node/13774442635,Exploren,1
210,bp pulse #23,1,0.55,8,22.0,-33.89289,151.03892,node/13774450454,bp pulse,1
211,Evie Networks #39,1,0.55,4,22.0,-33.81609,150.96908,node/13804420298,Evie Networks,1
212,Chargefox #19,1,0.55,2,22.0,-33.69572,151.03152,node/13805070070,Chargefox,1
213,AmpCharge #21,1,0.55,2,22.0,-33.68301,151.02852,node/13805076026,AmpCharge,1
214,AmpCharge #22,1,0.55,8,22.0,-33.71359,150.97237,node/13805098738,AmpCharge,1
215,EVX #4,1,0.55,2,22.0,-33.87953,151.15650,node/13810069801,EVX,1
216,Chargefox #20,1,0.55,5,22.0,-33.88083,151.13165,node/13854720801,Chargefox,1
217,Chargefox #21,1,0.55,2,240.0,-33.70097,150.80534,node/13966472049,Chargefox,1
218,Station 229,1,0.55,4,22.0,-33.84356,151.21380,node/13972238798;node/13972238799,,2
219,Exploren #14,1,0.55,2,50.0,-33.90835,151.05785,node/14011529760,Exploren,1
220,NRMA #5,1,0.55,4,120.0,-34.02579,150.77808,node/14020908421,NRMA,1
